Quarterly Monetary Aggregates (N'Million),,,,,,,,,,
Year,NFA,NCG,Credit to Core Private Sector,Credit to State & Local Govt,Reserve Money,Narrrow Money (M1),Broad Money (M2),PSDD,DMBs Deposits at CBN,CIC
Q4,"3,533.20",845.50,"1,672",0.00,"1,859.40","2,605.40","4,241.20","1,574.70",703.90,"1,155.50"
1976,,,,,,,,,,
Q1,"3,308.80","1,523.50","1,767.00",0.00,"2,356.20","3,299.00","4,987.20","2,190.10","1,123.60","1,232.60"
Q2,"3,597.20","1,239.30","1,963.20",0.00,"2,625.20","3,196.00","5,108.10","2,076.70","1,393.40","1,231.90"
Q3,"3,536.80","1,286.90","2,152.90",0.00,"2,895.00","3,334.70","8,303.80","2,136.50","1,571.10","1,324.00"
Q4,"3,170.20","1,353.80","2,464.40",0.00,"2,445.20","3,864.10","5,905.10","2,513.90",905.20,"1,540.00"
1977,,,,,,,,,,
Q1,"3,079.80","2,609.20",,0.00,"2,506.30","4,682.40","6,817.60","3,193.20",842.00,"1,664.30"
Q2,"3,002.10","2,948.60",,0.00,"2,669.80","4,662.40","6,789.30","3,118.70",977.10,"1,692.70"
Q3,"2,908.00","3,165.90",,0.00,"2,752.00","5,182.90","7,348.40","3,517.20",931.30,"1,820.80"
Q4,"2,722.30","3,808.40",,0.00,"2,792.60","5,557.80","7,898.80","3,617.00",630.00,"2,162.00"
1978,,,,,,,,,,
Q1,"2,387.00","2,377.60","3,883.80",0.00,"2,854.00","5,719.40","8,077.70","3,639.80",563.70,"2,290.30"
Q2,"1,666.40","2,231.40","4,094.90",0.00,"2,786.00","5,602.20","8,167.30","3,526.70",520.20,"2,265.80"
Q3,"1,107.20","3,015.80","4,273.40",0.00,"2,709.40","5,866.70","8,554.80","3,820.70",478.30,"2,231.10"
Q4,"1,192.90","2,504.40","4,513.00",0.00,"2,898.60","5,260.70","7,985.40","3,103.50",516.90,"2,381.70"
1979,,,,,,,,,,
Q1,"1,473.90","3,604.50","4,573.70",0.00,"2,784.20","5,567.80","8,376.60","3,420.40",469.40,"2,314.80"
Q2,"1,895.00","2,488.00","4,807.80",0.00,"2,961.90","6,080.40","9,183.70","3,952.20",631.80,"2,330.10"
Q3,"2,735.80","4,315.70","4,915.00",0.00,"3,052.10","6,621.90","10,188.80","4,485.80",553.80,"2,498.30"
Q4,"3,232.20","3,365.60","5,399.60",0.00,"3,083.40","6,351.50","10,224.60","4,000.70",380.00,"2,703.40"
1980,,,,,,,,,,
Q1,"3,811.80","3,597.90","5,603",0,"3,626.20","7,333.10","11,587.70","4,907.70",958.40,"2,667.80"
Q2,"4,632.00","2,307.00","6,050.90",0.00,"3,268.00","6,775.20","11,411.30","4,319.50",497.50,"2,770.50"
Q3,"5,661.50","1,655.00","6,696.10",0.00,"3,551.00","7,734.40","12,543.40","5,077.70",600.20,"2,950.80"
Q4,"5,622.00","3,567.80","7,457.80",0.00,"4,797.50","9,650.70","15,100.00","6,464.80","1,208.00","3,588.50"
